id,nombre_receta,calorias,proteinas,grasas,carbohidratos,ingredientes,tiempo_min,saludable,etiqueta,tipo_preparacion
20,Receta 20,669,25.1,8.4,9.6,"pollo, aguacate, huevo",48,1,baja en carbohidratos,elaborado
21,Receta 21,675,6.3,32.5,14.6,"lentejas, manzana, avena",14,1,alta en fibra,rapido
22,Receta 22,616,36.8,30.3,19.7,"carne, huevo, tofu",44,1,alta en proteinas,elaborado
23,Receta 23,607,11.6,32.2,84.5,"salchicha, fritos, tocino",5,0,no saludable,rapido
24,Receta 24,503,30.2,14.5,62.7,"aguacate, pollo, huevo",55,1,baja en carbohidratos,elaborado
25,Receta 25,662,30.3,26,25.4,"tomate, tofu, zanahoria",16,1,vegetariana,rapido
26,Receta 26,455,25.6,33.6,28.9,"queso, aguacate, huevo",58,1,baja en carbohidratos,elaborado
27,Receta 27,162,28.9,17.1,3.6,"huevo, espinaca, pollo",49,1,baja en carbohidratos,elaborado
28,Receta 28,300,30.5,18.3,13,"queso, aguacate, pollo",13,1,baja en carbohidratos,rapido
29,Receta 29,762,22.4,9.2,80.3,"avena, chia, pan integral",56,1,alta en fibra,elaborado
30,Receta 30,675,25.3,33.2,61.4,"espinaca, brocoli, tofu",17,1,vegetariana,rapido
31,Receta 31,860,8.4,3.6,67.4,"espinaca, tofu, pepino",25,1,vegetariana,rapido
32,Receta 32,852,17.9,12.9,75.5,"lechuga, tofu, espinaca",50,1,vegetariana,elaborado
33,Receta 33,785,18.6,27,61.6,"crema, queso, fritos",36,0,no saludable,elaborado
34,Receta 34,491,34.4,8.8,24.9,"chia, manzana, frijoles",59,1,alta en fibra,elaborado
35,Receta 35,673,24.7,31.9,36.2,"fruta, zanahoria, yogur",38,1,baja en grasas,elaborado
36,Receta 36,683,8.7,15.7,26.6,"leche descremada, yogur, platano",34,1,baja en grasas,elaborado
37,Receta 37,469,16.8,20.9,88.3,"mantequilla, fritos, queso",26,0,no saludable,rapido
38,Receta 38,534,14,15.5,50,"avena, platano, zanahoria",28,1,baja en grasas,rapido
39,Receta 39,389,15.1,31.7,50.3,"pepino, espinaca, tomate",26,1,vegetariana,rapido
40,Receta 40,245,5.1,22.1,46.3,"pan integral, frijoles, lentejas",12,1,alta en fibra,rapido
41,Receta 41,392,10.9,25.4,23.8,"frijoles, manzana, lentejas",56,1,alta en fibra,elaborado
42,Receta 42,735,18.7,3.8,20.3,"salchicha, crema, queso",49,0,no saludable,elaborado
43,Receta 43,568,9,6.7,54.6,"fruta, zanahoria, leche descremada",48,1,baja en grasas,elaborado
44,Receta 44,317,36,21.8,9.1,"queso, espinaca, aguacate",48,1,baja en carbohidratos,elaborado
45,Receta 45,445,7.8,19.6,42.8,"pollo, huevo, aguacate",53,1,baja en carbohidratos,elaborado
46,Receta 46,896,22.4,34.3,29.7,"yogur, leche descremada, fruta",46,1,baja en grasas,elaborado
47,Receta 47,484,37.1,10.3,27,"aguacate, huevo, pollo",15,1,baja en carbohidratos,rapido
48,Receta 48,444,12.4,3.5,41.3,"carne, tofu, proteina vegetal",21,1,alta en proteinas,rapido
49,Receta 49,208,27.8,5.9,22.9,"lechuga, pepino, tofu",46,1,vegetariana,elaborado
50,Receta 50,219,19.4,7.8,47.3,"tocino, crema, fritos",47,0,no saludable,elaborado
51,Receta 51,425,17.6,6.5,49.9,"pepino, espinaca, tomate",34,1,vegetariana,elaborado
52,Receta 52,561,5.4,30.2,19.1,"mantequilla, salchicha, tocino",22,0,no saludable,rapido
53,Receta 53,727,6.9,12.5,32.3,"frijoles, lentejas, manzana",11,1,alta en fibra,rapido
54,Receta 54,558,11.3,16.2,13.5,"frijoles, chia, lentejas",38,1,alta en fibra,elaborado
55,Receta 55,517,11.3,13,22.7,"tocino, crema, mantequilla",46,0,no saludable,elaborado
56,Receta 56,715,17.4,8.6,30.4,"queso, tocino, crema",37,0,no saludable,elaborado
57,Receta 57,197,20.7,21.5,44,"lechuga, espinaca, tomate",34,1,vegetariana,elaborado
58,Receta 58,223,29.2,30.2,73.1,"lentejas, chia, manzana",38,1,alta en fibra,elaborado
59,Receta 59,879,24.1,31.1,62.7,"pan integral, manzana, chia",25,1,alta en fibra,rapido
60,Receta 60,267,6.5,11.6,86.8,"fritos, queso, mantequilla",59,0,no saludable,elaborado
61,Receta 61,553,15,28.6,81.6,"tofu, huevo, proteina vegetal",16,1,alta en proteinas,rapido
62,Receta 62,501,29.4,9.2,86.6,"zanahoria, pepino, brocoli",39,1,vegetariana,elaborado
63,Receta 63,385,26,6.4,21.3,"tofu, tomate, lechuga",21,1,vegetariana,rapido
64,Receta 64,151,17.9,6,56.7,"huevo, pollo, queso",33,1,baja en carbohidratos,elaborado
65,Receta 65,434,34.9,31.5,11.5,"huevo, queso, pollo",10,1,baja en carbohidratos,rapido
66,Receta 66,781,24.1,6.8,43.3,"tomate, lechuga, espinaca",26,1,vegetariana,rapido
67,Receta 67,255,30.8,7.4,23.5,"pescado, pollo, tofu",45,1,alta en proteinas,elaborado
68,Receta 68,466,5.9,7.9,23.3,"avena, yogur, fruta",36,1,baja en grasas,elaborado
69,Receta 69,435,12.4,25.9,40.4,"platano, yogur, zanahoria",21,1,baja en grasas,rapido
70,Receta 70,466,15.5,8.2,66,"queso, huevo, aguacate",14,1,baja en carbohidratos,rapido
71,Receta 71,339,19.8,14.7,23.7,"tofu, brocoli, tomate",8,1,vegetariana,rapido
72,Receta 72,752,24.7,34.8,67.6,"zanahoria, yogur, fruta",45,1,baja en grasas,elaborado
73,Receta 73,791,13.8,12.2,80.7,"tofu, pepino, espinaca",13,1,vegetariana,rapido
74,Receta 74,834,14.2,7.7,17.3,"tomate, brocoli, lechuga",9,1,vegetariana,rapido
75,Receta 75,655,22.2,8.5,63,"crema, fritos, queso",60,0,no saludable,elaborado
76,Receta 76,411,31.4,3,44.4,"tocino, crema, salchicha",27,0,no saludable,rapido
77,Receta 77,897,34.1,11.7,10.6,"pan integral, manzana, avena",18,1,alta en fibra,rapido
78,Receta 78,447,8.5,27.5,17.5,"lentejas, avena, pan integral",27,1,alta en fibra,rapido
79,Receta 79,477,39.8,33.2,88.3,"pollo, huevo, queso",60,1,baja en carbohidratos,elaborado
80,Receta 80,552,5.4,32.4,70.2,"proteina vegetal, tofu, pollo",28,1,alta en proteinas,rapido
81,Receta 81,539,13.3,17.3,83.3,"mantequilla, queso, fritos",37,0,no saludable,elaborado
82,Receta 82,491,33.9,32,81.9,"lentejas, pan integral, frijoles",60,1,alta en fibra,elaborado
83,Receta 83,861,16.6,12.6,25.6,"chia, avena, frijoles",53,1,alta en fibra,elaborado
84,Receta 84,233,29.7,34.3,35.7,"tocino, mantequilla, crema",23,0,no saludable,rapido
85,Receta 85,895,37.8,27.6,78.3,"pollo, huevo, proteina vegetal",50,1,alta en proteinas,elaborado
86,Receta 86,646,37.8,6.4,5,"pepino, brocoli, tomate",35,1,vegetariana,elaborado
87,Receta 87,487,34.4,3.8,40.8,"espinaca, tofu, brocoli",23,1,vegetariana,rapido
88,Receta 88,891,35.4,23.3,4.6,"pepino, brocoli, zanahoria",36,1,vegetariana,elaborado
89,Receta 89,250,15.6,34.8,73,"mantequilla, crema, tocino",7,0,no saludable,rapido
90,Receta 90,742,32.6,33.7,11.5,"mantequilla, fritos, queso",53,0,no saludable,elaborado
91,Receta 91,421,30.1,20.2,3.2,"tofu, lechuga, brocoli",55,1,vegetariana,elaborado
92,Receta 92,617,27.4,16.3,48.1,"pepino, brocoli, zanahoria",21,1,vegetariana,rapido
93,Receta 93,485,23,20.6,60,"espinaca, pollo, huevo",16,1,baja en carbohidratos,rapido
94,Receta 94,606,31.1,31.5,35.3,"crema, salchicha, queso",24,0,no saludable,rapido
95,Receta 95,195,37.9,31.6,16.2,"yogur, zanahoria, fruta",43,1,baja en grasas,elaborado
96,Receta 96,780,34.4,12.1,16.8,"leche descremada, zanahoria, avena",9,1,baja en grasas,rapido
97,Receta 97,687,9.8,11.4,51.6,"pollo, carne, tofu",24,1,alta en proteinas,rapido
98,Receta 98,663,25,29.5,9.6,"carne, proteina vegetal, pollo",31,1,alta en proteinas,elaborado
99,Receta 99,205,22.3,19.5,77.5,"lentejas, frijoles, manzana",39,1,alta en fibra,elaborado
100,Receta 100,453,38.8,20.8,45.1,"huevo, tofu, pescado",8,1,alta en proteinas,rapido
101,Receta 101,243,14.9,2.7,69.3,"yogur, avena, zanahoria",27,1,baja en grasas,rapido
102,Receta 102,791,38.3,31.9,69.4,"zanahoria, fruta, yogur",56,1,baja en grasas,elaborado
103,Receta 103,794,7.6,29.5,8.1,"frijoles, pan integral, lentejas",47,1,alta en fibra,elaborado
104,Receta 104,370,15.2,28,86.3,"zanahoria, yogur, avena",35,1,baja en grasas,elaborado
105,Receta 105,869,6.1,15.3,43.1,"frijoles, chia, manzana",31,1,alta en fibra,elaborado
106,Receta 106,323,29,10.2,63,"pepino, aguacate, espinaca",19,1,baja en carbohidratos,rapido
107,Receta 107,336,14.6,33.7,58.9,"avena, yogur, zanahoria",42,1,baja en grasas,elaborado
108,Receta 108,521,31.5,21.5,32,"yogur, leche descremada, avena",37,1,baja en grasas,elaborado
109,Receta 109,468,13.2,5.2,70.4,"salchicha, fritos, queso",16,0,no saludable,rapido
110,Receta 110,619,33.7,16.8,16.1,"huevo, pollo, tofu",51,1,alta en proteinas,elaborado
111,Receta 111,397,19.1,31.4,67.6,"platano, fruta, leche descremada",35,1,baja en grasas,elaborado
112,Receta 112,813,27,10.6,5.5,"tofu, zanahoria, brocoli",57,1,vegetariana,elaborado
113,Receta 113,356,17.7,22.3,12.1,"pescado, pollo, huevo",16,1,alta en proteinas,rapido
114,Receta 114,767,18.8,11.5,43.9,"lentejas, frijoles, manzana",6,1,alta en fibra,rapido
115,Receta 115,739,34.4,14.1,32,"avena, manzana, pan integral",17,1,alta en fibra,rapido
116,Receta 116,170,18.6,23.6,53.2,"espinaca, pollo, aguacate",24,1,baja en carbohidratos,rapido
117,Receta 117,627,33.1,26.3,28.4,"mantequilla, crema, salchicha",35,0,no saludable,elaborado
118,Receta 118,261,20.8,8.9,78.5,"huevo, proteina vegetal, carne",37,1,alta en proteinas,elaborado
119,Receta 119,441,32.7,8,64.4,"leche descremada, yogur, fruta",46,1,baja en grasas,elaborado
120,Receta 120,538,22.9,2.4,64.7,"pepino, huevo, aguacate",45,1,baja en carbohidratos,elaborado
121,Receta 121,353,5.2,15.1,17.9,"platano, yogur, zanahoria",30,1,baja en grasas,elaborado
122,Receta 122,718,6.9,16.5,48.8,"lechuga, zanahoria, brocoli",40,1,vegetariana,elaborado
123,Receta 123,700,18,25.2,34.6,"aguacate, pepino, pollo",32,1,baja en carbohidratos,elaborado
124,Receta 124,552,22.1,21.8,89.6,"pescado, tofu, huevo",26,1,alta en proteinas,rapido
125,Receta 125,868,24.5,26.8,63.4,"pepino, tomate, espinaca",51,1,vegetariana,elaborado
126,Receta 126,623,33.3,2.7,68.7,"platano, zanahoria, fruta",46,1,baja en grasas,elaborado
127,Receta 127,385,10.7,24,36.8,"tofu, lechuga, tomate",37,1,vegetariana,elaborado
128,Receta 128,225,9.3,18.3,84,"tomate, brocoli, zanahoria",44,1,vegetariana,elaborado
129,Receta 129,835,27.7,30.3,58.1,"pollo, espinaca, pepino",32,1,baja en carbohidratos,elaborado
130,Receta 130,850,6.1,26.7,12.4,"pollo, huevo, proteina vegetal",50,1,alta en proteinas,elaborado
131,Receta 131,751,12.9,24.2,85,"pescado, tofu, huevo",11,1,alta en proteinas,rapido
132,Receta 132,532,25.2,26.5,13.7,"pepino, aguacate, pollo",60,1,baja en carbohidratos,elaborado
133,Receta 133,368,19.3,7.7,87.4,"frijoles, avena, manzana",19,1,alta en fibra,rapido
134,Receta 134,838,28.3,30.1,41.9,"mantequilla, tocino, crema",41,0,no saludable,elaborado
135,Receta 135,232,10.9,14.6,89.2,"huevo, carne, proteina vegetal",12,1,alta en proteinas,rapido
136,Receta 136,832,31.6,29,84.7,"avena, frijoles, manzana",47,1,alta en fibra,elaborado
137,Receta 137,438,6.4,26.7,46.1,"huevo, aguacate, queso",42,1,baja en carbohidratos,elaborado
138,Receta 138,655,14.3,8.5,22.9,"aguacate, huevo, pollo",12,1,baja en carbohidratos,rapido
139,Receta 139,494,29.7,29.3,55,"huevo, espinaca, pollo",27,1,baja en carbohidratos,rapido
140,Receta 140,888,15.2,6,64.2,"crema, fritos, mantequilla",36,0,no saludable,elaborado
141,Receta 141,218,19.4,17.5,37.5,"tofu, huevo, pescado",59,1,alta en proteinas,elaborado
142,Receta 142,212,25.2,26.2,63.5,"pollo, espinaca, aguacate",48,1,baja en carbohidratos,elaborado
143,Receta 143,416,18.3,15.5,59.6,"pescado, carne, tofu",36,1,alta en proteinas,elaborado
144,Receta 144,334,38.4,30.7,83.5,"tomate, lechuga, pepino",55,1,vegetariana,elaborado
145,Receta 145,729,14.9,31.2,56.2,"pollo, tofu, huevo",19,1,alta en proteinas,rapido
146,Receta 146,350,39.8,3.6,20.8,"crema, queso, mantequilla",47,0,no saludable,elaborado
147,Receta 147,567,24,20.7,38.3,"tofu, lechuga, espinaca",29,1,vegetariana,rapido
148,Receta 148,797,39.3,34.3,18.8,"queso, fritos, mantequilla",27,0,no saludable,rapido
149,Receta 149,616,10,32.4,54.5,"yogur, leche descremada, fruta",16,1,baja en grasas,rapido
150,Receta 150,270,27.5,20.1,49.2,"proteina vegetal, pollo, carne",39,1,alta en proteinas,elaborado
151,Receta 151,280,23,4.1,80.3,"platano, leche descremada, fruta",10,1,baja en grasas,rapido
152,Receta 152,729,11.9,13.7,11,"fruta, avena, platano",57,1,baja en grasas,elaborado
153,Receta 153,880,34.8,29.3,34.4,"lechuga, tomate, tofu",45,1,vegetariana,elaborado
154,Receta 154,464,16.9,24.5,65.6,"queso, espinaca, huevo",41,1,baja en carbohidratos,elaborado
155,Receta 155,175,39.2,11.6,41,"pescado, huevo, tofu",48,1,alta en proteinas,elaborado
156,Receta 156,700,19.3,24.8,55.9,"mantequilla, fritos, salchicha",25,0,no saludable,rapido
157,Receta 157,363,25.6,29.7,77.7,"tomate, zanahoria, espinaca",57,1,vegetariana,elaborado
158,Receta 158,600,28.2,18,52.1,"pescado, carne, proteina vegetal",18,1,alta en proteinas,rapido
159,Receta 159,409,5.1,13.6,75.2,"fruta, leche descremada, yogur",6,1,baja en grasas,rapido
160,Receta 160,519,26.5,4.4,32.7,"avena, fruta, platano",38,1,baja en grasas,elaborado
161,Receta 161,182,30.1,3.5,89.5,"brocoli, espinaca, lechuga",44,1,vegetariana,elaborado
162,Receta 162,659,12.9,27.6,52.6,"avena, fruta, platano",6,1,baja en grasas,rapido
163,Receta 163,770,23.1,33,13.9,"pepino, zanahoria, brocoli",56,1,vegetariana,elaborado
164,Receta 164,280,14.7,34.3,19,"avena, pan integral, manzana",15,1,alta en fibra,rapido
165,Receta 165,307,12,8.8,24.8,"brocoli, tomate, lechuga",27,1,vegetariana,rapido
166,Receta 166,778,16,2.1,30.9,"proteina vegetal, pescado, carne",5,1,alta en proteinas,rapido
167,Receta 167,547,23.9,22.5,18.4,"espinaca, lechuga, tomate",21,1,vegetariana,rapido
168,Receta 168,523,14.2,21,23.1,"pescado, tofu, huevo",7,1,alta en proteinas,rapido
169,Receta 169,836,36.1,15.9,40.1,"pescado, carne, proteina vegetal",41,1,alta en proteinas,elaborado
170,Receta 170,329,32.1,4.2,14.7,"pepino, brocoli, zanahoria",7,1,vegetariana,rapido
171,Receta 171,691,6,8.9,44.2,"queso, espinaca, pollo",36,1,baja en carbohidratos,elaborado
172,Receta 172,867,38.2,21,57.1,"espinaca, pepino, aguacate",23,1,baja en carbohidratos,rapido
173,Receta 173,690,10,16.2,81.4,"carne, huevo, proteina vegetal",8,1,alta en proteinas,rapido
174,Receta 174,587,7.3,19.4,31.5,"aguacate, pollo, queso",13,1,baja en carbohidratos,rapido
175,Receta 175,246,17.7,23.4,72,"fruta, zanahoria, leche descremada",36,1,baja en grasas,elaborado
176,Receta 176,153,27.5,33.8,41.9,"platano, avena, fruta",30,1,baja en grasas,elaborado
177,Receta 177,787,39.6,10.2,42.3,"avena, frijoles, pan integral",56,1,alta en fibra,elaborado
178,Receta 178,837,32.6,17.4,61.3,"mantequilla, salchicha, tocino",25,0,no saludable,rapido
179,Receta 179,467,35,34.9,38.6,"crema, fritos, mantequilla",20,0,no saludable,rapido
180,Receta 180,239,26.8,32.4,9.5,"manzana, pan integral, lentejas",33,1,alta en fibra,elaborado
181,Receta 181,816,35.2,33,54.4,"zanahoria, avena, platano",6,1,baja en grasas,rapido
182,Receta 182,601,27.7,22.8,8.7,"huevo, pollo, proteina vegetal",54,1,alta en proteinas,elaborado
183,Receta 183,579,12.6,32.9,79.6,"tofu, huevo, pollo",39,1,alta en proteinas,elaborado
184,Receta 184,562,18.1,32.1,61.6,"salchicha, fritos, mantequilla",30,0,no saludable,elaborado
185,Receta 185,859,7.7,33.6,85.7,"huevo, carne, tofu",19,1,alta en proteinas,rapido
186,Receta 186,794,18.4,6.3,39.9,"lentejas, chia, avena",45,1,alta en fibra,elaborado
187,Receta 187,891,21.5,6.6,62.1,"pescado, pollo, tofu",42,1,alta en proteinas,elaborado
188,Receta 188,341,16.5,9.9,26.6,"crema, salchicha, fritos",48,0,no saludable,elaborado
189,Receta 189,165,24.8,29,88.4,"pan integral, manzana, avena",40,1,alta en fibra,elaborado
190,Receta 190,331,37.8,22.2,74.9,"fritos, crema, queso",41,0,no saludable,elaborado
191,Receta 191,693,22.1,5.5,76.5,"manzana, chia, pan integral",39,1,alta en fibra,elaborado
192,Receta 192,652,32.2,3.4,58.5,"yogur, platano, avena",49,1,baja en grasas,elaborado
193,Receta 193,561,30.4,27.1,48.4,"frijoles, chia, pan integral",27,1,alta en fibra,rapido
194,Receta 194,859,24.5,17.3,87.8,"queso, huevo, pollo",26,1,baja en carbohidratos,rapido
195,Receta 195,836,19.4,9.9,48.8,"salchicha, fritos, crema",37,0,no saludable,elaborado
196,Receta 196,382,6.6,21.9,77.2,"huevo, tofu, pollo",51,1,alta en proteinas,elaborado
197,Receta 197,875,19.4,4.9,5.4,"leche descremada, zanahoria, yogur",8,1,baja en grasas,rapido
198,Receta 198,728,8.7,13.3,61.9,"salchicha, queso, crema",44,0,no saludable,elaborado
199,Receta 199,327,19.6,25.9,22,"fruta, zanahoria, avena",22,1,baja en grasas,rapido
200,Receta 200,530,36.7,22,5,"huevo, proteina vegetal, pollo",33,1,alta en proteinas,elaborado
201,Receta 201,591,10.4,29.3,48.8,"proteina vegetal, carne, pollo",29,1,alta en proteinas,rapido
202,Receta 202,303,20.9,33.7,77.4,"lentejas, avena, pan integral",32,1,alta en fibra,elaborado
203,Receta 203,639,5.8,11.9,29.9,"tomate, pepino, brocoli",14,1,vegetariana,rapido
204,Receta 204,448,12.1,34.7,44.1,"tomate, lechuga, brocoli",5,1,vegetariana,rapido
205,Receta 205,422,12.7,23.1,13.3,"fritos, salchicha, queso",51,0,no saludable,elaborado
206,Receta 206,373,37.6,31.6,76.2,"espinaca, tofu, zanahoria",43,1,vegetariana,elaborado
207,Receta 207,855,11.8,9.5,13.3,"lechuga, zanahoria, tofu",51,1,vegetariana,elaborado
208,Receta 208,743,28.3,11.8,63.8,"huevo, espinaca, queso",25,1,baja en carbohidratos,rapido
209,Receta 209,316,22.9,8.1,65.3,"tofu, proteina vegetal, pollo",31,1,alta en proteinas,elaborado
210,Receta 210,162,12.2,17.1,88.8,"brocoli, pepino, tofu",27,1,vegetariana,rapido
211,Receta 211,411,30.1,27,35.3,"aguacate, queso, pollo",18,1,baja en carbohidratos,rapido
212,Receta 212,335,29.5,25,79.2,"pan integral, avena, lentejas",44,1,alta en fibra,elaborado
213,Receta 213,687,5.6,23.3,54.4,"chia, pan integral, manzana",11,1,alta en fibra,rapido
214,Receta 214,715,14.9,27.6,49.4,"mantequilla, tocino, salchicha",18,0,no saludable,rapido
215,Receta 215,187,39.6,28.9,53.5,"carne, pollo, tofu",32,1,alta en proteinas,elaborado
216,Receta 216,431,28.7,10.1,71.1,"tofu, espinaca, lechuga",17,1,vegetariana,rapido
217,Receta 217,843,18,11,40.3,"tofu, brocoli, zanahoria",39,1,vegetariana,elaborado
218,Receta 218,512,37,30.5,28.7,"brocoli, tofu, espinaca",59,1,vegetariana,elaborado
219,Receta 219,241,38.9,12.8,58.7,"tocino, queso, mantequilla",42,0,no saludable,elaborado
220,Receta 220,279,6.9,16.1,68.9,"mantequilla, fritos, queso",42,0,no saludable,elaborado
221,Receta 221,888,14.7,9,66.6,"pescado, tofu, carne",10,1,alta en proteinas,rapido
222,Receta 222,605,32,24.2,19.4,"fritos, tocino, crema",8,0,no saludable,rapido
223,Receta 223,391,29.9,12.8,58,"fruta, yogur, platano",29,1,baja en grasas,rapido
224,Receta 224,450,33.4,17.1,18.5,"crema, mantequilla, fritos",25,0,no saludable,rapido
225,Receta 225,749,24.3,15.8,42.2,"chia, manzana, avena",37,1,alta en fibra,elaborado
226,Receta 226,490,21,7.5,74.8,"pepino, espinaca, huevo",55,1,baja en carbohidratos,elaborado
227,Receta 227,216,6.7,5.1,26.1,"fruta, leche descremada, yogur",25,1,baja en grasas,rapido
228,Receta 228,578,15.3,24.5,72.2,"avena, frijoles, chia",9,1,alta en fibra,rapido
229,Receta 229,421,6.7,26.6,33.1,"pepino, espinaca, pollo",25,1,baja en carbohidratos,rapido
230,Receta 230,604,25.3,21.4,73.9,"manzana, avena, frijoles",12,1,alta en fibra,rapido
231,Receta 231,322,27.3,27.3,57.5,"pollo, espinaca, huevo",8,1,baja en carbohidratos,rapido
232,Receta 232,790,14,23,13,"proteina vegetal, pescado, huevo",10,1,alta en proteinas,rapido
233,Receta 233,620,36.7,20.5,63.2,"yogur, platano, leche descremada",45,1,baja en grasas,elaborado
234,Receta 234,511,9.3,13.3,5.8,"lentejas, manzana, avena",9,1,alta en fibra,rapido
235,Receta 235,288,28,33.3,82.2,"tocino, queso, salchicha",48,0,no saludable,elaborado
236,Receta 236,839,38,29,53.4,"lentejas, frijoles, manzana",11,1,alta en fibra,rapido
237,Receta 237,419,30.5,16.1,41.9,"aguacate, pollo, queso",52,1,baja en carbohidratos,elaborado
238,Receta 238,194,6,20.7,38.9,"pepino, tofu, espinaca",59,1,vegetariana,elaborado
239,Receta 239,173,26.3,15,79.9,"platano, fruta, yogur",8,1,baja en grasas,rapido
240,Receta 240,244,19.5,4.9,29.4,"pepino, espinaca, huevo",27,1,baja en carbohidratos,rapido
241,Receta 241,867,34.9,28.6,60.4,"queso, crema, salchicha",13,0,no saludable,rapido
242,Receta 242,742,30.7,13.7,82.2,"proteina vegetal, pescado, pollo",30,1,alta en proteinas,elaborado
243,Receta 243,723,31.4,28.5,43.9,"salchicha, fritos, queso",33,0,no saludable,elaborado
244,Receta 244,640,20.7,32,48.2,"huevo, proteina vegetal, pescado",9,1,alta en proteinas,rapido
245,Receta 245,746,20.5,20.6,5,"pepino, tomate, lechuga",56,1,vegetariana,elaborado
246,Receta 246,485,13.9,12.8,61.4,"crema, mantequilla, queso",50,0,no saludable,elaborado
247,Receta 247,580,34.4,7.7,13.2,"aguacate, espinaca, pollo",18,1,baja en carbohidratos,rapido
248,Receta 248,385,39.9,25.9,86.9,"proteina vegetal, huevo, pescado",12,1,alta en proteinas,rapido
249,Receta 249,171,6.8,19.3,36.5,"lechuga, tomate, zanahoria",12,1,vegetariana,rapido
250,Receta 250,212,25.3,20.1,7.3,"avena, yogur, fruta",35,1,baja en grasas,elaborado
251,Receta 251,196,17.9,22.7,83.7,"zanahoria, platano, fruta",41,1,baja en grasas,elaborado
252,Receta 252,737,10.6,17.3,80.6,"zanahoria, yogur, leche descremada",43,1,baja en grasas,elaborado
253,Receta 253,542,28.5,15,15.7,"tofu, espinaca, brocoli",33,1,vegetariana,elaborado
254,Receta 254,596,13.8,8.4,6.7,"huevo, pollo, espinaca",50,1,baja en carbohidratos,elaborado
255,Receta 255,822,14.3,19.2,9.6,"pollo, espinaca, queso",46,1,baja en carbohidratos,elaborado
256,Receta 256,309,9,28.8,14,"mantequilla, crema, fritos",36,0,no saludable,elaborado
257,Receta 257,494,11.5,3.6,82.4,"queso, pollo, espinaca",41,1,baja en carbohidratos,elaborado
258,Receta 258,571,9.2,25.8,49.6,"pepino, tofu, zanahoria",23,1,vegetariana,rapido
259,Receta 259,375,12.1,10.9,46.3,"tofu, proteina vegetal, carne",46,1,alta en proteinas,elaborado
260,Receta 260,357,28.1,33.6,66.8,"avena, frijoles, manzana",28,1,alta en fibra,rapido
261,Receta 261,572,5.7,20.7,86.5,"tofu, espinaca, zanahoria",47,1,vegetariana,elaborado
262,Receta 262,704,7.7,29,41.7,"fritos, tocino, salchicha",21,0,no saludable,rapido
263,Receta 263,516,11.5,8.5,50.9,"queso, salchicha, tocino",5,0,no saludable,rapido
264,Receta 264,628,19.9,35,65.8,"proteina vegetal, pollo, pescado",17,1,alta en proteinas,rapido
265,Receta 265,758,14.7,5.7,88.6,"pepino, queso, huevo",13,1,baja en carbohidratos,rapido
266,Receta 266,359,7.1,30.3,31.4,"avena, pan integral, manzana",53,1,alta en fibra,elaborado
267,Receta 267,621,8.7,17.7,7.2,"pan integral, avena, chia",37,1,alta en fibra,elaborado
268,Receta 268,784,35.8,5.8,56.8,"mantequilla, tocino, fritos",6,0,no saludable,rapido
269,Receta 269,687,22.3,7.6,53.4,"espinaca, pollo, queso",47,1,baja en carbohidratos,elaborado
270,Receta 270,818,39.9,26.4,24.2,"espinaca, zanahoria, lechuga",42,1,vegetariana,elaborado
271,Receta 271,347,9.1,10.5,13.9,"fritos, queso, crema",27,0,no saludable,rapido
